Proben-ID;Anlagennummer;Probe aus;Ölmenge im System;Dimension;Ölbezeichnung;Datum Probenentnahme;Datum letzter Ölwechsel;Nachfüllmenge seit Wechsel;Dimension;Laufzeit seit Wechsel;Dimension;Laufzeit gesamt;Dimension;Wasser K. F.;
1238132;266622;WKA-Hauptgetriebe;125;;Addinol Eco Gear 320 S;2010-06-30;;;;;;125176;h;196;ppm
1336250;266721;WEA-Hauptgetriebe;100;;Addinol Eco Gear 320 S;2011-02-24;2009-07-14;;;;;128345;h;25;ppm
1210662;266721;WEA-Hauptgetriebe;100;;Addinol Eco Gear 320 S;2010-04-27;2009-07-14;;;;;119938;h;102;ppm
1888698;266721;WEA-Hauptgetriebe;100;;Addinol Eco Gear 320 S;2014-02-05;2009-07-14;;;;;152075;h;106;ppm
1708144;266721;WEA-Hauptgetriebe;100;;Addinol Eco Gear 320 S;2013-03-11;2009-07-14;;;;;145375;h;107;ppm
1168888;266721;WEA-Hauptgetriebe;100;;Addinol Eco Gear 320 S;2010-01-07;2009-07-14;;;;;119683;h;119;ppm
2089165;266721;WEA-Hauptgetriebe;100;;Addinol Eco Gear 320 S;2015-01-20;2009-07-14;;;;;161281;h;121;ppm
1513055;266721;WEA-Hauptgetriebe;100;;Addinol Eco Gear 320 S;2012-03-08;2009-07-14;;;;;137380;h;142;ppm
1249582;266721;WEA-Hauptgetriebe;100;;Addinol Eco Gear 320 S;2010-07-29;2009-07-14;;;;;123339;h;149;ppm
1990984;266721;WEA-Hauptgetriebe;100;;Addinol Eco Gear 320 S;2014-07-31;2009-07-14;;;;;157257;h;191;ppm
1796675;266721;WEA-Hauptgetriebe;100;;Addinol Eco Gear 320 S;2013-08-19;2009-07-14;;;;;149204;h;201;ppm
1417361;266721;WEA-Hauptgetriebe;100;;Addinol Eco Gear 320 S;2011-08-25;2009-07-14;;;;;132260;h;287;ppm
1538147;266722;WKA-Hauptgetriebe;110;;Addinol Eco Gear 320 S;2012-04-25;2009-07-14;;;;;137130;h;108;ppm
1724267;266722;WKA-Hauptgetriebe;110;;Addinol Eco Gear 320 S;2013-04-09;;;;;;145341;h;137;ppm
1291287;266722;WKA-Hauptgetriebe;110;;Addinol Eco Gear 320 S;2010-11-09;2009-07-14;;;;;124562;h;144;ppm
2011634;266722;WKA-Hauptgetriebe;110;;Addinol Eco Gear 320 S;2014-09-09;2009-07-14;;;;;157542;h;159;ppm
1821949;266722;WKA-Hauptgetriebe;110;;Addinol Eco Gear 320 S;2013-10-08;2009-07-14;;;;;149642;h;186;ppm
